fusionTranscriptID	fusionGeneID	breakpointPair	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
FAM111A-DT::NAALAD2__11:59130367-11:90144798	FAM111A-DT::NAALAD2	11:59130367-11:90144798	+	+	intron	intron	deletion/3'-3'	medium	3	Arriba
PLCH1-AS1(11407),PLCH1(10721)::LINC02830__3:155469160-7:125153612	PLCH1-AS1(11407),PLCH1(10721)::LINC02830	3:155469160-7:125153612	+	-	intergenic	intergenic	translocation	medium	3	Arriba
EHF::EIF3M__11:34658998-11:32600689	EHF::EIF3M	11:34658998-11:32600689	+	+	3'UTR	CDS/splice-site	duplication	medium	3	Arriba
ETV6::ETV6(47561),BCL2L14(106906)__12:11890918-12:11942938	ETV6::ETV6(47561),BCL2L14(106906)	12:11890918-12:11942938	-	-	intron	intergenic	duplication	medium	3	Arriba
ETV6(23349),BCL2L14(131118)::ETV6__12:11918726-12:11891597	ETV6(23349),BCL2L14(131118)::ETV6	12:11918726-12:11891597	-	-	intergenic	CDS	deletion/read-through	low	3	Arriba
PDE3A::CRABP1__12:20551569-15:78343549	PDE3A::CRABP1	12:20551569-15:78343549	+	+	intron	CDS	translocation	medium	3	Arriba
TRAPPC10::NBEAP3__21:44092959-22:15837543	TRAPPC10::NBEAP3	21:44092959-22:15837543	+	+	intron	intergenic	translocation	medium	3	Arriba
IMMP2L::NPM1P14(53673),AC002463.1(41097)__7:111487238-7:112575343	IMMP2L::NPM1P14(53673),AC002463.1(41097)	7:111487238-7:112575343	-	-	CDS/splice-site	intergenic	duplication	medium	3	Arriba
CATSPERB::TC2N__14:91780576-14:91785361	CATSPERB::TC2N	14:91780576-14:91785361	-	-	5'UTR/splice-site	CDS/splice-site	duplication	low	3	Arriba
BRWD1::MX1__21:39267765-21:41451728	BRWD1::MX1	21:39267765-21:41451728	-	-	intron	exon	duplication/5'-5'	low	3	Arriba
RNF11::AL592182.1__1:51236874-1:50222423	RNF11::AL592182.1	1:51236874-1:50222423	+	+	CDS	intron	duplication/5'-5'	low	3	Arriba
SUDS3::KSR2__12:118403460-12:117926630	SUDS3::KSR2	12:118403460-12:117926630	+	+	CDS	intron	duplication/5'-5'	low	3	Arriba
RSRP1::TMEM50A__1:25267756-1:25343057	RSRP1::TMEM50A	1:25267756-1:25343057	-	+	5'UTR	CDS	inversion	low	3	Arriba
RSRP1::TMEM50A__1:25338069-1:25342961	RSRP1::TMEM50A	1:25338069-1:25342961	-	+	5'UTR/splice-site	CDS/splice-site	inversion	low	3	Arriba
PARG::BMS1__10:49885215-10:42791651	PARG::BMS1	10:49885215-10:42791651	-	+	CDS	CDS	inversion	low	3	Arriba
POLR3A::GNAI2P2(39603),AL731555.1(67787)__10:78024511-10:78109141	POLR3A::GNAI2P2(39603),AL731555.1(67787)	10:78024511-10:78109141	-	-	intron	intergenic	duplication	low	3	Arriba
UHRF1::KRT18P28__19:4911011-1:182960035	UHRF1::KRT18P28	19:4911011-1:182960035	+	+	CDS	exon	translocation/5'-5'	low	3	Arriba
ROPN1B::ALG1L__3:125970964-3:125933696	ROPN1B::ALG1L	3:125970964-3:125933696	-	-	intron	CDS/splice-site	deletion/read-through/3'-3'	low	3	Arriba
MYOF::ENTPD1-AS1__10:93431409-10:96067551	MYOF::ENTPD1-AS1	10:93431409-10:96067551	-	-	CDS	intron	duplication	low	3	Arriba
PTEN::ANTXRL__10:87894076-10:46300881	PTEN::ANTXRL	10:87894076-10:46300881	+	-	CDS	intron	inversion/3'-3'	low	3	Arriba
XPNPEP1::DUSP5-DT__10:109886247-10:110475203	XPNPEP1::DUSP5-DT	10:109886247-10:110475203	-	-	CDS	exon	duplication	low	3	Arriba
AC009318.1::CCDC91__12:29317555-12:28549042	AC009318.1::CCDC91	12:29317555-12:28549042	-	+	intron	intron	inversion	low	3	Arriba
COMMD10::AC094104.1(16254),TRIM36(20033)__5:116158120-5:115104729	COMMD10::AC094104.1(16254),TRIM36(20033)	5:116158120-5:115104729	+	+	intron	intergenic	duplication	low	3	Arriba
UGGT2::B3GLCT__13:95947037-13:31323775	UGGT2::B3GLCT	13:95947037-13:31323775	-	+	CDS	CDS	inversion	low	3	Arriba
BTBD9::TDRG1__6:38577599-6:40353491	BTBD9::TDRG1	6:38577599-6:40353491	-	-	CDS	intron	duplication/5'-5'	low	3	Arriba
MRAP2::CEP162__6:84095128-6:84139470	MRAP2::CEP162	6:84095128-6:84139470	+	+	intergenic	intron	deletion/read-through/5'-5'	low	3	Arriba
SLC49A3::ATP5ME__4:686532-4:673401	SLC49A3::ATP5ME	4:686532-4:673401	-	-	out-of-frame	.	.	.	3	FusionCatcher
